Restoran,Yazar,Yazar Yorum Sayısı,Yazar Foto Sayısı,Yerel Rehber,Puan,Tarih,Yorum,İşletme Yanıtı,Yanıt Tarihi,Bu Yorumda Foto,Yorum ID
Cümcük Restoran,ozlem haskan,12,2,Evet,5,6 ay önce,"Karışık mantı tabağı ve kabak tatlısı çok lezzetliydi ve personel özenli, ilgiliydi. Fiyatlar biraz yüksek. Menüde mantı türlerinin resmi olsa iyi olurdu. Yine de görevli arkadaş mantı türlerini tek tek gösterdi ve çok yardımcı oldu. Bir de işletmenin içerideki yoğun yemek/sarımsak kokusuna bir çözüm bulması iyi olabilir.",,,0,Ci9DQUlRQUNvZENodHljRjlvT201R00xTllVa2hyV0c5eVdEVklhMncxUTNSak5uYxAB
Cümcük Restoran,Tahsin KAYA,18,2,Evet,5,6 ay önce,Dışarıda yediğim en lezzetli mantı kesinlikle burasıdır. Yaglamasi kesinlikle tam puanı hak eden lezzette. Fiyat olarak bi tık pahalı ama hak etmiyor diyemem.,,,0,Ci9DQUlRQUNvZENodHljRjlvT2tKNk9UTjJNVEZTUVhCc2VreEJjRkE1YTNoU1ZHYxAB
Cümcük Restoran,Kutay Karakaya,5,,Hayır,5,6 ay önce,Çok güzel bir yer. Yemekleri desen ayrı hizmet desen ayrı güzel. Kesinlikle herkese tavsiye ederim. Ankara ya gelip de yemek yenmesi gereken yerlerden bir tanesi.,,,0,Ci9DQUlRQUNvZENodHljRjlvT2tVdFFWRnhVRmxSU1dWTU5sVXpablJJTFhrNE0zYxAB
Cümcük Restoran,Kübra,10,1,Hayır,2,6 ay önce,Porsiyonları çok küçük. Evet ortada bir emek var . Fakat doyulacak porsiyon olsa fiyatı arttırın ozaman. Kişi başı 450 tl verip doymadan kalktık. Bu nedenle puanım düşük.,,,1,Ci9DQUlRQUNvZENodHljRjlvT21adGR6RlJValpaZVRoWFNWTnpNVVZoWDNoWlJsRRAB
Cümcük Restoran,Hilal Gökçe KUL,1,,Hayır,5,6 ay önce,"Çok merak ederek geldiğim bir restoranttı. Lezzetlerine hayran kaldım, çalışanlar çok güler yüzlü. Mutlaka çıtır mantısını deneyin bayılıcaksınız.",,,0,Ci9DQUlRQUNvZENodHljRjlvT2poWVQyRlVNWGxqWkVKNmRrcG9VMHBpV1hsMlRsRRAB
Cümcük Restoran,Ömür,105,69,Evet,2,7 ay önce,"Kremalı peynir dolgulu rivoli mi öyle bir şey ve küçük içli köfte yedim ama gerçekten küçüktü.  Tabakta resmen sayılı makarna vardı. 500 küsür lira hesap ödeyip aç kalktım. Ekmek istedim 1,5 dilim geldi. Yani diyecek çok fazla bir şey yok. Porsiyonları oldukça küçük verilen paranın karşılığını alamadım. Lezzet konusunda bir şey diyemeyeceğim güzel olmuş ellerine sağlık.",,,0,Ci9DQUlRQUNvZENodHljRjlvT205elVIaFVXbFpKZVhCclNEZ3ROMlZpUm0wd1ozYxAB
Cümcük Restoran,Batın Arkan,6,4,Hayır,5,7 ay önce,,,,0,Ci9DQUlRQUNvZENodHljRjlvT2tWRVNHVlFjV3hpZFVGNGNXWkljSEppTFhVeVdVRRAB
Cümcük Restoran,kerem ates,29,18,Evet,4,7 ay önce,,,,0,Ci9DQUlRQUNvZENodHljRjlvT21KV2FrcFpVekp2Y21oQ1dHUnZOblJ1VmpWNWNtYxAB
Cümcük Restoran,beyza karakalem,12,5,Hayır,5,7 ay önce,,,,0,Ci9DQUlRQUNvZENodHljRjlvT2xKSVIxaGxkWE5wZFdScVdFZG1Rekp5Y1ROUE1HYxAB
Cümcük Restoran,Yigit Aslan,245,283,Evet,4,7 ay önce,"Öncelikle yaflama ve mantısı  iyi; hamuru taze ve soslarıyla lezzet tam kıvamında.
Ama burası sadece hamur işinden ibaret değil.
​Masayı donattığımız zeytinyağlılar (özellikle enginar ve bamya) muhteşemdi. Kullanılan malzemelerin kalitesi, cevizli zeytinli mezelerden ve turşulardan belli oluyor.
Her şey o kadar taze ve lezzetli ki, kendinizi evinizde yemek yiyormuş gibi hissediyorsunuz.

​Samimi ortamı, tertemiz sunumu ve doyurucu porsiyonlarıyla kesinlikle müdavimi olunacak bir yer. Gerçek, katkısız ve lezzetli yemek arayanlara şiddetle tavsiye ederim.

Not : ben mezelri daha fazla tercih ederim hamurlar yerine. Bir tık fiyatlar yüksek bence.",,,4,Ci9DQUlRQUNvZENodHljRjlvT2xRdGFtTmtOM3BqVEZCeFlYQjZWVzFXYjBjM1JVRRAB
Cümcük Restoran,Gülay Oskay,19,1,Evet,5,7 ay önce,"Ne yediysek nefis, 3 yıldır müdavimiyiz. Çocuğumuz ellerinde büyüdü. Güvenilir, tertemiz ve güleryüzlü bir yer. Bizim vazgeçilmezimiz…",,,0,Ci9DQUlRQUNvZENodHljRjlvT2xKUVF6ZFZTVTlLVjI5aVRFOVdTblF4TTFKd1dWRRAB
Cümcük Restoran,Esin,7,,Hayır,5,7 ay önce,Ankara'da bu kadar sıcak atmosferi olan ve bu kadar güzel yemekleri olan bir yer keşfetmiş olmak beni inanılmaz mutlu etti bu akşam. Otantik ve sıcacık. Bundan sonra buranın müdavimi olurum heralde🤗 …,,,0,Ci9DQUlRQUNvZENodHljRjlvT2xaQmJVVktVMEo2TjFoNVowOUZPVWh0Y210cWVHYxAB
Cümcük Restoran,levent karakartal,27,8,Evet,4,7 ay önce,"Mantıları lezzetli, turşusu çok güzel. Tavsiye edebileceğim bir işletme. Temizlik konusunda da bence iyi",,,0,Ci9DQUlRQUNvZENodHljRjlvT2pBeU9EVjNVa0pUUW1Wc1pqVnBkakpGYkVabVVXYxAB
Cümcük Restoran,Zafer GENÇ,14,4,Evet,5,7 ay önce,,,,0,Ci9DQUlRQUNvZENodHljRjlvT2xkNVRrcEVOM2hOV0dKRWIyazRRV0ZZV1Vvd05VRRAB
Cümcük Restoran,Ayse Onuk,14,3,Hayır,5,8 ay önce,Çok güzel bir işletme tertemiz ve çok lezzetli kesinlikle gitmeniz gerek bir yer mantık klasik ve üçken mantık deneyimledik çok çok güzel 👍 …,,,0,Ci9DQUlRQUNvZENodHljRjlvT2xKa1RFNXVSVEJzZUVsemMyMWxPV2RoUW0xd2QwRRAB
Cümcük Restoran,Melek,16,3,Evet,5,8 ay önce,Herşey harika 🙌 …,,,0,Ci9DQUlRQUNvZENodHljRjlvT2pKaFNuRlBVbk55WVRkaVVtOWtValZqV0ZGYVoxRRAB
Cümcük Restoran,Aslı Dilay Ecemiş,1,,Hayır,5,8 ay önce,Vişneli sarması ve yağlaması uğruna ölmeye değer. Tam bir aile işletmesi içeri girdiğiniz anda ortamın sıcaklığı sizi sarıp sarmalıyor.,,,0,Ci9DQUlRQUNvZENodHljRjlvT21KVVJFNUNPRFJWWTJWd2VUSmZlblJTZW5GS1puYxAB
Cümcük Restoran,deniz merve gündüz,2,1,Hayır,3,8 ay önce,"Mekanın içi çok dar ve aşırı havasız, dışardaki masalar az sayıda yazın çok sıcak kışın çok soğuk. Servis çok yavaş ve yemekler abartıldığı kadar lezzetli değil, fiyatları da olağan dışı yüksek. Beklentimizi karşılamadı.",,,0,Ci9DQUlRQUNvZENodHljRjlvT21JelRIaFNiV05EYTA1M09UVnhiVEY2UTBwWFdIYxAB
Cümcük Restoran,Emre Erkaya,,,Hayır,5,8 ay önce,,,,0,Ci9DQUlRQUNvZENodHljRjlvT2pCdmFGVXhZMFpRV1dreFgxcHRiQzFSTFhkQ1ozYxAB
Cümcük Restoran,Servet ünal,13,,Evet,5,8 ay önce,"Mantıları çok çok iyi, fiyatları makul, ortam sıcak ve güzel. Erman bey gerçekten çok kibar ve ilgili. Kesinlikle tavsiye ediyorum, Ankara’da yenebilecek en iyi mantı. Sadece mantı değil, içli köfte, börek, turşu çeşitleri ve diğer ürünleri de çok başarılı.",,,0,Ci9DQUlRQUNvZENodHljRjlvT21ZNFdtUkRURVkwVm5OdVZESkpTMUJ3UjFSNFlWRRAB
Cümcük Restoran,Utku Berkalp Ünalan,8,,Evet,4,8 ay önce,,,,0,Ci9DQUlRQUNvZENodHljRjlvT2tSSFZXOXBZVnBtWDJGM1FYUXpOVWRaWDJoQllrRRAB
